ResearchFieldId,ResearchFieldLabel,PaperId,PaperTitle,Contribution
R11,Science,R25000,Predatory Open-Access Journals in India: A Study,R25002
R11,Science,R25066,Predicting Personality from Twitter,R25072
R11,Science,R25066,Predicting Personality from Twitter,R25067
R11,Science,R25073,Preprint repository arXiv achieves milestone million uploads,R25074
R11,Science,R25070,Leveraging online social networks and external data sources to predict personality,R25071
R11,Science,R25085,Recognising personality traits using facebook status updates,R25086
R11,Science,R25075,Predicting Personality with Social Behavior,R25076
R11,Science,R25079,Machine prediction of personality from Facebook profiles,R25080
R11,Science,R25083,Evaluating Content-Independent Features for Personality Recognition,R25084
R11,Science,R25077,Personality and patterns of Facebook usage,R25078
R11,Science,R25081,Private traits and attributes are predictable from digital records of human behavior,R25082
R11,Science,R25089,Predicting Personality Traits using Multimodal Information,R25090
R11,Science,R25087,Mining facebook data for predictive personality modeling,R25088
R11,Science,R25095,Prototyping organizational change,R25096
R11,Science,R25097,A retrospective look at PD projects,R25098
R11,Science,R25091,Towards automated personality identification using speech acts,R25092
R11,Science,R25103,Sustained Participatory Design: Extending the Iterative Approach,R25104
R11,Science,R25105,User gains and PD aims,R25106
R11,Science,R25101,User Advocacy in Participatory Design: Designers' Experiences with a New Communication Channel,R25102
R11,Science,R25099,280 GHz Gyro-BWO design study: Final report,R25100
R11,Science,R25111,How much participation is enough?,R25112
R11,Science,R25068,"Our Twitter Profiles, Our Selves: Predicting Personality with Twitter",R25069
R11,Science,R25107,Participants' view on personal gains and PD process,R25108
R11,Science,R25109,Examining participation,R25110
R11,Science,R25118,VisionSense: an advanced lateral collision warning system,R25119
R11,Science,R25113,An insider perspective on community gains: A subjective account of a Namibian rural communities׳ perception of a long-term participatory design project,R25114
R11,Science,R25122,Assessment of safety levels and an innovative design for the Lane Change Assistant,R25123
R11,Science,R25126,Ambient light based interaction concept for an integrative driver assistance system -a driving simulator study,R25127
R11,Science,R25129,A New Driving Assistant for Automobiles,R25130
R11,Science,R25124,"""Should I stay or should I go?""",R25125
R11,Science,R25172,Off-line Signature Verification Using Flexible Grid Features and Classifier Fusion,R25173
R11,Science,R25133,Complementary Audio-Visual Collision Warnings,R25134
R11,Science,R25131,Evaluation of Six Night Vision Enhancement Systems: Qualitative and Quantitative Support for Intelligent Image Processing,R25132
R11,Science,R25120,HMI Principles for Lateral Safe Applications,R25121
R11,Science,R25137,Driver assistance via optical information with spatial reference,R25138
R11,Science,R25135,Integrating Off-Board Cameras and Vehicle On-Board Localization for Pedestrian Safety,R25136
R11,Science,R25144,GPS enabled speed control embedded system speed limiting device with display and engine control interface,R25145
R11,Science,R25151,Light my way,R25152
R11,Science,R25154,A color scenario of Eco & Healthy Driving for the RGB LED based interface display of a climate control device,R25155
R11,Science,R25146,ChaseLight,R25147
R11,Science,R25142,A large-scale LED array to support anticipatory driving,R25143
R11,Science,R25139,LED-A-pillars,R25140
R11,Science,R25158,TactiCar,R25159
R11,Science,R25156,heart rate,R25157
R11,Science,R25149,Simple gaze-contingent cues guide eye movements in a realistic driving simulator,R25150
R11,Science,R25182,Off-line Signature Verification Based on Chain Code Histogram and Support Vector Machine,R25183
R11,Science,R25180,Off-line English and Chinese Signature Identification Using Foreground and Background Features,R25181
R11,Science,R25163,Applying Dissimilarity Representation to Off-line Signature Verification,R25164
R11,Science,R25169,SVM-DSmT Combination for Off-Line Signature Verification,R25170
