ResearchFieldId,ResearchFieldLabel,PaperId,PaperTitle
R11,Science,R25000,Predatory Open-Access Journals in India: A Study
R11,Science,R25066,Predicting Personality from Twitter
R11,Science,R25073,Preprint repository arXiv achieves milestone million uploads
R11,Science,R25070,Leveraging online social networks and external data sources to predict personality
R11,Science,R25085,Recognising personality traits using facebook status updates
R11,Science,R25075,Predicting Personality with Social Behavior
R11,Science,R25079,Machine prediction of personality from Facebook profiles
R11,Science,R25083,Evaluating Content-Independent Features for Personality Recognition
R11,Science,R25077,Personality and patterns of Facebook usage
R11,Science,R25081,Private traits and attributes are predictable from digital records of human behavior
R11,Science,R25089,Predicting Personality Traits using Multimodal Information
R11,Science,R25087,Mining facebook data for predictive personality modeling
R11,Science,R25095,Prototyping organizational change
R11,Science,R25097,A retrospective look at PD projects
R11,Science,R25091,Towards automated personality identification using speech acts
R11,Science,R25103,Sustained Participatory Design: Extending the Iterative Approach
R11,Science,R25105,User gains and PD aims
R11,Science,R25101,User Advocacy in Participatory Design: Designers' Experiences with a New Communication Channel
R11,Science,R25099,280 GHz Gyro-BWO design study: Final report
R11,Science,R25111,How much participation is enough?
R11,Science,R25068,"Our Twitter Profiles, Our Selves: Predicting Personality with Twitter"
R11,Science,R25107,Participants' view on personal gains and PD process
R11,Science,R25109,Examining participation
R11,Science,R25118,VisionSense: an advanced lateral collision warning system
R11,Science,R25113,An insider perspective on community gains: A subjective account of a Namibian rural communities׳ perception of a long-term participatory design project
R11,Science,R25122,Assessment of safety levels and an innovative design for the Lane Change Assistant
R11,Science,R25126,Ambient light based interaction concept for an integrative driver assistance system -a driving simulator study
R11,Science,R25129,A New Driving Assistant for Automobiles
R11,Science,R25124,"""Should I stay or should I go?"""
R11,Science,R25172,Off-line Signature Verification Using Flexible Grid Features and Classifier Fusion
R11,Science,R25133,Complementary Audio-Visual Collision Warnings
R11,Science,R25131,Evaluation of Six Night Vision Enhancement Systems: Qualitative and Quantitative Support for Intelligent Image Processing
R11,Science,R25120,HMI Principles for Lateral Safe Applications
R11,Science,R25137,Driver assistance via optical information with spatial reference
R11,Science,R25135,Integrating Off-Board Cameras and Vehicle On-Board Localization for Pedestrian Safety
R11,Science,R25144,GPS enabled speed control embedded system speed limiting device with display and engine control interface
R11,Science,R25151,Light my way
R11,Science,R25154,A color scenario of Eco & Healthy Driving for the RGB LED based interface display of a climate control device
R11,Science,R25146,ChaseLight
R11,Science,R25142,A large-scale LED array to support anticipatory driving
R11,Science,R25139,LED-A-pillars
R11,Science,R25158,TactiCar
R11,Science,R25156,heart rate
R11,Science,R25149,Simple gaze-contingent cues guide eye movements in a realistic driving simulator
R11,Science,R25182,Off-line Signature Verification Based on Chain Code Histogram and Support Vector Machine
R11,Science,R25180,Off-line English and Chinese Signature Identification Using Foreground and Background Features
R11,Science,R25163,Applying Dissimilarity Representation to Off-line Signature Verification
R11,Science,R25169,SVM-DSmT Combination for Off-Line Signature Verification
R11,Science,R25178,"Tsang Ing Re, Off-line signature verification: an approach based on combining distances and one-class classifiers"
R11,Science,R25219,On Replica Placement for QOSAware Content Distribution
R11,Science,R25191,GMM For Offline Signature Forgery Detection
R11,Science,R25188,Offline Signature Verification Using Shape Dissimilarities
R11,Science,R25175,Offline Signature Verification Using Classifier Combination of HOG and LBP Features
R11,Science,R25185,Effect of Euler Number as a Feature in gender Recognition System from Offline HandwrittenSignature Using Neural Networks
R11,Science,R25193,Discriminative DCT: An Efficient and Accurate Approach for Off-line Signature Verification
R11,Science,R25166,Off- line signature verification based on grey level information using texture features
